disctrictname,pinyin
哈密市,Hami
伊吾县,Yiwu
巴里坤哈萨克自治县,Kazakhstan Autonomous
昌吉市,Changji
呼图壁,Hutubi
吉木萨尔,Jimsar
玛纳斯,manas
木垒,Mori
奇台,Qitai
阜康,Fukang
其他,Other
库尔勒,Korla
轮台,Luntai
尉犁,Yuli
焉耆,Yanqi
和静,Hejing
若羌,Ruoqiang
博湖,Bohu
和硕,Harmony
且末,Qiemo
巴州周边,Perimeter of Bazhou
东城,Dongcheng
红山,Hongshan
老街,Laojie
向阳,Xiangyang
新城,Xingcheng
北泉,Beiquan
石河子乡,Shiheziship
石河子周边,Perimeter of Shihezi
阿克苏市,Akesu
阿瓦提,Awati
拜城,Baicheng
柯坪,Keping
库车,Kuqa
沙雅,Shaya
温宿,Wensu
乌什,Wushi
新和,Xinhe
其他,Other
和田县,Hetian
和田市,Hetian
墨玉县,Moyu
皮山县,Pishan
洛浦县,Luopu
策勒县,Qira
于田县,Yutian
民丰县,Minfeng
阿勒泰市,Aletai
布尔津县,Buerjin
富蕴县,Fuyun
福海县,Fuhai
哈巴河县,Habahe
青河县,Qinggil
吉木乃县,Jimunai
盘龙区,Panlong
官渡区,Guandu
五华区,Wuhua
西山区,Xishan
呈贡,Chenggong
安宁,Anning
昆明周边,Perimeter of Kunming
昭阳区,Zhaoyang
鲁甸县,Ludian
巧家县,Qiaojia
盐津县,Yanjin
大关县,Daguan
永善县,Yongshan
绥江县,Suijiang
镇雄县,Zhenxiong
彝良县,Yiliang
威信县,Weixin
水富县,Shuifu
红塔区,Hongta
江川县,Jiangchuan
澄江县,Chengjiang
通海县,Tonghai
华宁县,Huin
易门县,Yimen
峨山彝族自治县,The Yi Nationality Autonomous of theshan
新平彝族傣族自治县,Xinping Yi and Dai Autonomous
元江县,Yuanjiang
景洪,Jinghong
勐海,Menghai
勐腊,Mengla
西双版纳周边,Perimeter of Xishuangbanna
富宁县,Fu Ning
文山县,Wenshan
砚山县,Yanshan
广南县,Guangnan
马关县,Maguan
丘北县,Qiubei
西畴县,Xichou
麻栗坡县,Malipo
麒麟区,Qilin
沾益县,Zhanyi
宣威市,xuanwei
会泽县,Huize
富源县,Fuyuan
陆良县,Luliang
师宗县,Shizong
罗平县,Luoping
马龙县,Malone
思茅区,Simao
宁洱哈尼族彝族自治县,Ning'er
墨江哈尼族自治县,Mojiang Hani Autonomous
景东彝族自治县,Jingdong Yi Autonomous
景谷傣族彝族自治县,Jinggu
镇沅彝族哈尼族拉祜族,The Hani ethnic Lahu nationality of the Yi people of Zhenyuan
江城哈尼族彝族自治县,Jiangcheng Hani Yi Autonomous
孟连傣族拉祜族佤族自,The Dai nationality of Lahu nationality of the Dai nationality of Meng Lian
澜沧拉祜族自治县,Lancang Lahu Nationality Autonomous
西盟佤族自治县,Ximeng Vazu Zizhixian
临翔区,Linxiang
凤庆县,Fengqing
云县,Yun
永德县,Yongde
镇康县,Zhenkang
双江拉祜族佤族布朗族,The Brown nationality of the two Jiang Lahu nationality Wa Nationality
耿马傣族佤族自治县,Dai nationality and Wa Nationality Autonomous in Gengma
沧源佤族自治县,Cangyuan Wa Autonomous
个旧市,Gejiu
开远市,Kaiyuan
蒙自县,Mengzi
屏边苗族自治县,Pingbian Miao Autonomous
建水县,Jianshui
石屏县,Shiping
弥勒县,Maitreya
泸西县,Luxi
元阳县,Yuanyang
红河县,Honghe
金平苗族瑶族傣族自治,The autonomy of the Yao Dai nationality of the Miao nationality of Jinping
绿春县,Luchun
河口瑶族自治县,Estuarine Yao Autonomous
大理市,Dali
祥云县,Xiangyun
弥渡县,Midu
宾川县,Binchuan
永平县,Yongping
云龙县,Yunlong
洱源县,Eryuan
剑川县,Jianchuan
鹤庆县,Heqing
漾濞彝族自治县,Yangbi
巍山彝族回族自治县,Weishan Yi ethnic Hui Autonomous
南涧彝族自治县,Nanjian Yi Autonomous
楚雄市,Chuxiong
保山,Baoshan
隆阳区,Longyang
施甸县,Shidian
腾冲县,Tengchong
龙陵县,Longling
昌宁县,Changning
古城区,Gaocheng
玉龙县,Yulong
永胜县,Yongsheng
宁蒗县,ninglang
华坪县,Huaping
芒市,Mango
潞西,Luxi
瑞丽,Ruili
陇川,Longchuan
梁河,Lianghe
盈江,Yingjiang
德宏周边,Perimeter of Dehong
香格里拉,Shangri-La
德钦,Deqin
维西傈,Weixilisi
迪庆周边,Perimeter of Diqing
泸水,Lushui
碧江,Bijiang
福贡,Fugong
贡山,Gongshan
兰坪县,Lanping
怒江周边,The periphery of the Nu River
西湖,Xihe
拱墅,Gongshu
宁波,Ningbo
下城,Xiacheng
上城,Shangcheng
江干,Jianggan
滨江,Binjiang
余杭,Yuhang
萧山,Xiaoshan
临安,Ling'an
建德,Jiande
淳安,Chunan
富阳,Fuyang
桐庐,Tonglu
湖州,Huzhou
嘉兴,Jiaxing
绍兴,Shaoxing
衢州,Quzhou
海曙,Haishu
江东,Jiangdong
江北,Jiangbei
鄞州,Yinzhou
北仑,Beilun
镇海,Zhenhai
余姚,Yuyao
慈溪,Cixi
象山,Xiangshan
奉化,Fenghua
宁海,Ninghai
宁波周边,Perimeter of Ningbo
定海,Dinghai
普陀,Putuo
嵊泗,Shengsi
岱山,Daishan
鹿城,Lucheng
瓯海,Ouhai
龙湾,Longwan
乐清市,Yueqing
瑞安市,Ruian
苍南县,Cangnan
洞头县,Dongtou
平阳县,Pingyang
泰顺县,Taishun
文成县,Wencheng
永嘉县,Yongjia
椒江区,jiaojiang
路桥区,Luqiao
黄岩区,Huangyan
温岭市,Wenling
临海,Near the sea
天台,Rooftop
仙居,divine abode
三门县,Three gate
玉环县,Yuhuan
越城区,Yuecheng
柯桥区,Keqiao
镜湖新区,Jinghu
袍江新区,Paojiang
诸暨市,Zhuji
上虞区,Shangyu
嵊州市,Shengzhou
新昌县,Xinchang
其他,Other
柯城,Kecheng
衢江,Qujiang
江山,Jiangshan
龙游,Longyou
常山,Changshan
开化,Kaihua
莲都,Liandu
缙云,Jinyun
云和,Yunhe
龙泉,Longquan
庆元,Qingyuan
青田,Qingtian
遂昌,Suichang
松阳,Songyang
景宁,Jingning
婺城,Wucheng
金东区,Jindong
义乌,Yiwu
永康,Yongkang
兰溪,Lanxi
东阳,Dongyang
浦江,Pujiang
武义,Wuyi
磐安,Panan
嘉善,Jiashan
南湖新区,Nanhu
秀洲新区,Xiuzhou
中心城区,Central
经济开发区,economic development zone
运河新区,Xinqu of canal
国际商务区,International Business
桐乡,Tongxiang
海宁,Haining
平湖,Pinghu
海盐,Haiyan
其他,Other
吴兴区,Wuxing
南浔区,Nanxun
德清县,Deqing
长兴县,Changxing
安吉县,Anji
其他区县,Others
